customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,aggregatedWinnerCode,detailId,roundInfo.name,roundInfo.slug,time.injuryTime1,time.injuryTime2,roundInfo.cupRoundType,previousLegEventId,homeScore.penalties,homeScore.aggregated,awayScore.penalties,awayScore.aggregated,hasEventPlayerStatistics,hasEventPlayerHeatMap,homeRedCards
pWcsxJTb,1,False,False,10916073,1.0,1674684000,avai-hercilio-luz,False,Catarinense,catarinense,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57299,4,100,Ended,finished,Hercílio Luz,hercilio-luz,Hercílio Luz,M,Football,football,1,1989,HER,False,False,0,234222,BR,Brazil,[],#ff0000,#ffffff,#ffffff,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1674687780.0,['cardsCode'],1674691143,,,,,,,,,,,,,,,
KOspWc,1,False,False,10916075,,1675539000,avai-figueirense,False,Catarinense,catarinense,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57299,5,100,Ended,finished,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,Figueirense,figueirense,Figueirense,M,Football,football,1,7309,FIG,False,False,0,1985,BR,Brazil,[],#000000,#ffffff,#ffffff,4.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1675543140.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1675545873,,,,,,,,,,,,,,,
pWcsyddc,1,False,False,10916096,,1675884600,avai-barra,False,Catarinense,catarinense,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57299,6,100,Ended,finished,Barra,barra,Barra,M,Football,football,1,805,BRR,False,False,0,257673,BR,Brazil,[],#52b030,#52b030,#ffffff,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,4.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,1675888440.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1675891569,,,,,,,,,,,,,,,
pWcsJMi,3,False,False,10916104,,1676156400,avai-brusque,False,Catarinense,catarinense,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57299,7,100,Ended,finished,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,Brusque,brusque,Brusque,M,Football,football,1,8990,BRU,False,False,0,21884,BR,Brazil,[],#dd421a,#048a4a,#048a4a,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,['cardsCode'],1676191622,,,,,,,,,,,,,,,
pWcsrfZc,2,False,False,10916114,,1676584800,avai-atletico-catarinense,False,Catarinense,catarinense,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57299,8,100,Ended,finished,Atlético Catarinense,atletico-catarinense,Atlético Catarinense,M,Football,football,1,556,ATL,,False,0,372767,BR,Brazil,[],#52b030,#52b030,#ffffff,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,,['cardsCode'],1676623275,,,,,,,,,,,,,,,
pWcszddc,1,False,False,10916121,,1677362400,avai-concordia,False,Catarinense,catarinense,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57299,9,100,Ended,finished,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,Concórdia,concordia,Concórdia,M,Football,football,1,1215,CON,,False,0,257674,BR,Brazil,[],#006000,#ff0000,#ff0000,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,['cardsCode'],1677404855,,,,,,,,,,,,,,,
pWcsOWEc,1,False,False,11055703,,1677717000,avai-retro,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,1,100,Ended,finished,Retrô,retro,Retrô,M,Football,football,1,3600,RET,False,False,0,324839,BR,Brazil,[],#000066,#fdd100,#fdd100,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,3.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1677724300.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677724301,1.0,6.0,Round 1,round-1,4.0,10.0,,,,,,,,,
MOspWc,1,False,False,10916126,,1678046400,avai-joinville,False,Catarinense,catarinense,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57299,10,100,Ended,finished,Joinville,joinville,Joinville,M,Football,football,1,1835,JOI,,False,0,1987,BR,Brazil,[],#cc0000,#000000,#000000,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1678050180.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1678053158,,,,,,,,,,,,,,,
JOspWc,3,False,False,10916131,,1678563000,avai-criciuma,False,Catarinense,catarinense,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57299,11,100,Ended,finished,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1678567080.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1678570355,,,,,,,,,,,,,,,
JOspWc,3,False,False,11129494,1.0,1679167800,avai-criciuma,False,"Catarinense, Serie A, Playoffs",catarinense-serie-a-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57644,27,100,Ended,finished,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679171880.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1679175048,,,Quarterfinal,quarterfinal,,,4.0,,,,,,,,
JOspWc,1,False,False,11132392,,1679443200,avai-criciuma,False,"Catarinense, Serie A, Playoffs",catarinense-serie-a-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57644,27,120,AP,finished,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,14.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,,['cardsCode'],1679474370,1.0,,Quarterfinal,quarterfinal,,,4.0,11129494.0,14.0,0.0,13.0,0.0,,,
xOspWc,1,True,False,11076163,,1681509600,avai-guarani,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,390,True,False,True,False,279,1449,1,100,Ended,finished,Guarani,guarani,Guarani,M,Football,football,1,16007,GUA,False,False,0,1972,BR,Brazil,[],#006214,#006214,#006214,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,4.0,4.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,1681516718.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681516720,,1.0,,,2.0,9.0,,,,,,,True,True,
pWcsHOi,1,False,False,11076176,1.0,1682190000,avai-mirassol,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,390,True,False,True,False,279,1449,2,100,Ended,finished,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1682197838.0,['cardsCode'],1682197852,,1.0,,,7.0,9.0,,,,,,,True,True,1.0
JOspWc,1,False,False,11076199,1.0,1682719200,avai-criciuma,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,390,True,False,True,False,279,1449,3,100,Ended,finished,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1682726539.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682726542,,1.0,,,7.0,8.0,,,,,,,True,True,
wPspWc,2,False,False,11076227,,1683159300,avai-vila-nova,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,390,True,False,True,False,279,1449,4,100,Ended,finished,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,1683166214.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683166216,,1.0,,,4.0,4.0,,,,,,,True,True,
pWcscUJ,2,True,False,11076275,1.0,1683407700,tombense-avai,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,#3F01FF,#c5be02,Brazil,brazil,Football,football,1,13,brazil,BR,84709,390,True,False,True,False,279,1449,5,100,Ended,finished,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1683414657.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683414658,,1.0,,,4.0,7.0,,,,,,,True,True,1.0
